,HoursActual,HoursEstimate,HoursPredict
9844,7.0,1.5,1.585091216960748
9845,7.0,1.5,1.585091216960748
9846,7.0,1.5,1.585091216960748
9847,4.0,2.0,1.1648629314888959
9848,4.0,2.0,1.1648629314888959
9849,4.0,2.0,1.1648629314888959
9850,4.0,2.0,1.1648629314888959
9851,4.0,4.0,1.688893674315453
9852,698.06,99.0,4.567192121888594
9853,698.06,99.0,4.567192121888594
9854,2.5,2.5,1.4196869563844403
9855,1.25,1.0,0.7700883866583077
9856,32.5,28.0,3.1343124229627635
9857,0.75,1.0,0.7700883866583077
9858,1.86,5.0,2.023728868225899
9859,4.0,4.0,1.6870840796327609
9860,2.5,2.5,1.4196869563844403
9861,2.06,3.5,1.4645776324447375
9862,1.0,1.5,1.028963807749495
9863,2.0,2.0,1.1542793717697162
9864,2.5,2.5,1.6303343083621276
9865,11.22,15.0,2.6076064026502017
9866,21.27,35.0,3.249503955840903
9867,48.0,50.0,3.079475008394716
9868,0.5,0.5,0.4573019907003483
9869,2.5,2.5,1.4196869563844403
9870,1.0,1.0,1.0256964773641386
9871,0.33,0.33,0.2789346531418757
9872,1.0,1.0,1.0256964773641386
9873,9.93,21.0,2.9948182121160536
9874,9.93,21.0,2.9948182121160536
9875,1.25,1.5,1.028963807749495
9876,0.25,0.25,0.2571596842223197
9877,5.0,5.0,1.949704530607107
9878,6.5,5.0,1.949704530607107
9879,9.48,14.0,2.6459287411256103
9880,4.0,4.0,1.688893674315453
9881,0.33,0.33,0.27302020671886884
9882,1.0,1.0,0.826605299719946
9883,0.25,0.25,0.25124523779931296
9884,3.0,3.0,1.738608732172942
9885,0.25,0.25,0.2571596842223197
9886,8.0,8.0,2.2637224853661584
9887,0.25,0.25,0.25124523779931296
9888,2.56,7.0,2.148675249852381
9889,2.29,5.0,1.945080651344057
9890,4.0,3.5,1.455577995951743
9891,4.5,4.5,1.9359509091436133
9892,2.93,35.0,3.1397778931315705
9893,1.0,1.0,0.7637271718810306
9894,2.67,3.5,1.4645776324447375
9895,1.0,1.0,1.1915094157333956
9896,6.0,6.0,2.0774167931774383
9897,25.25,49.0,3.171093889575865
9898,25.25,49.0,3.171093889575865
9899,27.82,21.0,3.009946708712404
9900,4.0,2.0,1.1648629314888959
9901,4.0,2.0,1.1648629314888959
9902,1.0,2.0,1.1598465074318431
9903,6.0,3.0,1.444011462900371
9904,6.0,3.0,1.444011462900371
9905,51.76,35.0,3.249503955840903
9906,5.5,5.5,1.960744232267976
9907,27.5,21.0,3.061140984119732
9908,13.5,49.0,3.218039447688737
9909,4.5,4.5,1.953758377412289
9910,8.0,2.0,1.585091216960748
9911,8.0,2.0,1.585091216960748
9912,8.0,2.0,1.585091216960748
9913,8.0,2.0,1.585091216960748
9914,3.0,3.0,1.627509268436881
9915,28.0,14.0,2.5971829014206262
9916,28.0,14.0,2.5971829014206262
9917,0.5,0.5,0.47296772133653614
9918,1.0,1.0,0.7700883866583077
9919,6.8,5.0,1.949704530607107
9920,6.8,5.0,1.949704530607107
9921,3.0,3.0,1.627509268436881
9922,4.5,2.0,1.1598465074318431
9923,4.5,2.0,1.1598465074318431
9924,7.0,49.0,3.2587454108041256
9925,3.0,3.0,1.4530110993933656
9926,5.0,5.0,1.9087109067679038
9927,7.0,14.0,2.5790225219473655
9928,2.0,2.0,1.1598465074318431
9929,0.5,0.5,0.47296772133653614
9930,14.5,14.0,2.639691756905706
9931,0.5,0.5,0.49396408965718164
9932,35.27,35.0,3.1397778931315705
9933,26.41,50.0,3.079475008394716
9934,13.46,21.0,3.009946708712404
9935,24.84,12.0,2.474067255498948
9936,0.78,15.0,2.6076064026502017
9937,5.25,3.5,1.455577995951743
9938,1.75,2.0,1.1648629314888959
9939,1.0,2.0,1.1648629314888959
9940,0.75,0.75,0.987529664714948
9941,1.0,1.0,0.7602118147070979
9942,16.0,7.0,2.1388470152840986
9943,16.0,7.0,2.1388470152840986
9944,4.0,4.0,1.688893674315453
9945,0.5,0.5,0.47296772133653614
9946,3.0,3.0,1.627509268436881
9947,3.0,3.0,1.6402403534140215
9948,1.0,1.0,0.7602118147070979
9949,4.5,5.0,1.906359771370547
9950,1.0,1.0,0.7700883866583077
9951,0.5,0.5,0.4573019907003483
9952,0.25,0.25,0.25124523779931296
9953,0.25,0.25,0.2571596842223197
9954,4.5,4.5,1.9359509091436133
9955,3.0,3.0,1.4530110993933656
9956,25.28,35.0,3.120405345418351
9957,25.28,35.0,3.120405345418351
9958,4.0,4.0,1.688893674315453
9959,1.0,1.0,1.151380023659187
9960,7.5,7.0,2.1388470152840986
9961,3.5,1.0,1.1915094157333956
9962,3.5,1.0,1.1915094157333956
9963,3.5,1.0,1.1915094157333956
9964,3.5,1.0,1.1915094157333956
9965,2.0,2.0,1.5775712749714415
9966,2.5,2.0,1.1648629314888959
9967,2.5,1.5,1.028963807749495
9968,0.25,0.25,0.25124523779931296
9969,14.5,17.0,2.635120201155145
9970,25.75,28.0,3.010541445317713
9971,4.0,4.0,1.688893674315453
9972,0.25,0.25,0.2571596842223197
9973,66.5,70.0,4.042440691702215
9974,0.5,1.0,0.7538505999298206
9975,3.0,1.5,1.028963807749495
9976,3.0,1.5,1.028963807749495
9977,3.5,3.5,1.6330808539492567
9978,50.5,14.0,2.603282138779582
9979,50.5,14.0,2.603282138779582
9980,2.25,50.0,3.230149238975979
9981,7.0,7.0,2.1576839386870446
9982,80.5,40.0,3.079092228560344
9983,5.75,5.0,1.945080651344057
9984,1.5,1.5,1.0239473836924422
9985,4.5,99.0,4.144987734963225
9986,0.5,0.5,0.49396408965718164
9987,1.0,1.0,0.7602118147070979
9988,47.5,21.0,3.093243684963437
9989,1.0,1.0,0.7700883866583077
9990,8.0,7.0,2.1388470152840986
9991,4.0,4.0,1.6649231862093312
9992,2.0,2.0,1.1648629314888959
9993,1.25,1.25,0.7700883866583077
9994,2.0,2.0,1.1648629314888959
9995,2.0,2.0,1.1648629314888959
9996,0.5,0.5,0.4573019907003483
9997,3.0,3.0,1.627509268436881
9998,3.5,2.0,1.585091216960748
9999,2.0,2.0,1.1648629314888959
10000,21.34,15.0,2.6076064026502017
10001,1.5,1.5,1.028963807749495
